prd_id,prd_key,prd_nm,prd_cost,prd_line,category
1,PRD0001,Keyboard 1,35851,A,Accessories
2,PRD0002,Tablet 2,15194,C,Electronics
3,PRD0003,Laptop 3,43213,A,Electronics
4,PRD0004,Mouse 4,2533,A,Accessories
5,PRD0005,Mobile 5,1835,C,Electronics
6,PRD0006,Mobile 6,16133,A,Electronics
7,PRD0007,Camera 7,44373,A,Electronics
8,PRD0008,Headphones 8,14784,B,Accessories
9,PRD0009,Keyboard 9,17293,B,Accessories
10,PRD0010,Mobile 10,40207,C,Electronics
11,PRD0011,Keyboard 11,47578,A,Accessories
12,PRD0012,Mouse 12,11232,B,Accessories
13,PRD0013,Laptop 13,38424,A,Electronics
14,PRD0014,Tablet 14,38235,C,Electronics
15,PRD0015,Camera 15,26495,C,Electronics
16,PRD0016,Mobile 16,5480,C,Electronics
17,PRD0017,Keyboard 17,41606,A,Accessories
18,PRD0018,Laptop 18,46191,B,Electronics
19,PRD0019,Mouse 19,45343,C,Accessories
20,PRD0020,Mouse 20,8433,C,Accessories
21,PRD0021,Mouse 21,3191,B,Accessories
22,PRD0022,Headphones 22,28574,C,Accessories
23,PRD0023,Tablet 23,5019,C,Electronics
24,PRD0024,Keyboard 24,22862,A,Accessories
25,PRD0025,Mouse 25,28028,B,Accessories
26,PRD0026,Laptop 26,28911,B,Electronics
27,PRD0027,Keyboard 27,30629,C,Accessories
28,PRD0028,Mobile 28,29040,A,Electronics
29,PRD0029,Keyboard 29,34693,C,Accessories
30,PRD0030,Tablet 30,40864,C,Electronics
31,PRD0031,Mouse 31,32186,B,Accessories
32,PRD0032,Camera 32,48408,C,Electronics
33,PRD0033,Tablet 33,21622,A,Electronics
34,PRD0034,Mouse 34,6179,B,Accessories
35,PRD0035,Camera 35,16481,B,Electronics
36,PRD0036,Headphones 36,40498,C,Accessories
37,PRD0037,Camera 37,22546,A,Electronics
38,PRD0038,Camera 38,21800,A,Electronics
39,PRD0039,Camera 39,14401,B,Electronics
40,PRD0040,Mouse 40,17431,B,Accessories
41,PRD0041,Tablet 41,39569,C,Electronics
42,PRD0042,Tablet 42,36924,A,Electronics
43,PRD0043,Headphones 43,13021,A,Accessories
44,PRD0044,Mobile 44,47690,B,Electronics
45,PRD0045,Camera 45,36884,A,Electronics
46,PRD0046,Keyboard 46,31701,C,Accessories
47,PRD0047,Keyboard 47,32666,B,Accessories
48,PRD0048,Mouse 48,1630,A,Accessories
49,PRD0049,Tablet 49,15022,B,Electronics
50,PRD0050,Keyboard 50,16445,B,Accessories
