sls_ord_num,sls_order_dt,sls_prd_id,sls_cust_id,sls_sales,sls_quantity,sls_price
ORD00001,2023-11-11,38,48,147088,4,36772
ORD00002,2023-06-28,23,55,110890,5,22178
ORD00003,2022-12-27,45,59,61782,3,20594
ORD00004,2022-09-15,15,16,42358,2,21179
ORD00005,2022-05-03,48,69,26104,2,13052
ORD00006,2022-08-10,48,62,143958,3,47986
ORD00007,2023-08-27,49,68,95230,5,19046
ORD00008,2022-04-13,13,38,48300,2,24150
ORD00009,2022-07-03,20,2,43975,5,8795
ORD00010,2022-10-08,3,7,98225,5,19645
ORD00011,2023-12-16,9,82,28892,4,7223
ORD00012,2024-06-12,1,74,93786,3,31262
ORD00013,2023-05-06,29,44,7734,2,3867
ORD00014,2022-09-16,31,15,26760,1,26760
ORD00015,2023-05-19,5,74,10443,1,10443
ORD00016,2022-06-02,37,39,16765,1,16765
ORD00017,2022-05-02,36,98,160940,4,40235
ORD00018,2023-09-03,40,29,127140,5,25428
ORD00019,2023-04-07,29,39,143015,5,28603
ORD00020,2022-11-09,37,80,40452,1,40452
ORD00021,2024-01-28,7,98,82986,2,41493
ORD00022,2022-08-05,17,85,10792,1,10792
ORD00023,2022-09-03,12,71,10758,1,10758
ORD00024,2022-01-03,27,58,156480,5,31296
ORD00025,2022-10-26,3,30,140493,3,46831
ORD00026,2022-10-17,45,111,20656,4,5164
ORD00027,2023-12-05,15,119,124389,3,41463
ORD00028,2023-08-27,43,103,56722,2,28361
ORD00029,2022-04-28,35,29,35816,2,17908
ORD00030,2024-04-26,10,10,11373,1,11373
ORD00031,2024-03-22,20,77,97070,5,19414
ORD00032,2023-03-26,8,60,139071,3,46357
ORD00033,2023-02-17,18,65,164305,5,32861
ORD00034,2023-03-25,6,77,28813,1,28813
ORD00035,2024-01-23,21,78,6585,3,2195
ORD00036,2022-04-04,15,87,194885,5,38977
ORD00037,2022-01-22,49,87,114792,3,38264
ORD00038,2022-02-11,49,97,62668,2,31334
ORD00039,2023-06-16,42,57,37182,3,12394
ORD00040,2023-08-23,28,82,25916,4,6479
ORD00041,2023-04-27,23,53,64620,3,21540
ORD00042,2023-11-18,7,110,44228,2,22114
ORD00043,2023-02-26,45,64,131769,3,43923
ORD00044,2023-02-15,49,71,30307,1,30307
ORD00045,2022-04-01,21,33,24291,3,8097
ORD00046,2024-03-02,26,111,2875,5,575
ORD00047,2023-11-05,35,60,16208,4,4052
ORD00048,2022-07-12,34,47,165845,5,33169
ORD00049,2023-10-03,29,98,13840,1,13840
ORD00050,2022-10-01,36,17,87636,3,29212
ORD00051,2023-12-17,32,16,41789,1,41789
ORD00052,2023-09-16,16,91,41730,2,20865
ORD00053,2023-07-19,1,71,26432,4,6608
ORD00054,2022-08-19,8,60,42948,1,42948
ORD00055,2024-05-02,10,64,101547,3,33849
ORD00056,2023-12-24,18,54,125788,4,31447
ORD00057,2022-09-07,30,71,51276,2,25638
ORD00058,2022-07-15,39,66,10150,2,5075
ORD00059,2022-10-10,50,102,91096,4,22774
ORD00060,2024-03-17,33,35,19036,1,19036
ORD00061,2024-01-14,20,108,192525,5,38505
ORD00062,2023-11-07,32,111,59528,2,29764
ORD00063,2023-07-06,31,45,110010,3,36670
ORD00064,2024-02-21,35,49,86352,4,21588
ORD00065,2024-06-09,13,90,75946,2,37973
ORD00066,2023-01-28,15,110,13440,4,3360
ORD00067,2022-11-22,48,61,103208,4,25802
ORD00068,2023-11-11,42,20,11704,4,2926
ORD00069,2022-05-10,33,76,21231,3,7077
ORD00070,2024-06-14,29,13,152225,5,30445
ORD00071,2022-01-16,47,19,173644,4,43411
ORD00072,2022-06-08,5,61,68061,3,22687
ORD00073,2023-10-01,45,51,22032,1,22032
ORD00074,2024-05-22,44,110,127020,5,25404
ORD00075,2022-11-21,41,92,143824,4,35956
ORD00076,2022-02-06,40,9,83726,2,41863
ORD00077,2023-12-02,19,30,28940,1,28940
ORD00078,2022-04-11,49,82,29576,1,29576
ORD00079,2022-06-20,45,39,3514,1,3514
ORD00080,2022-11-29,4,38,75195,3,25065
ORD00081,2023-03-18,10,32,137520,5,27504
ORD00082,2023-08-03,44,102,23280,2,11640
ORD00083,2022-06-29,6,79,164452,4,41113
ORD00084,2023-12-01,16,64,49395,5,9879
ORD00085,2022-08-26,30,82,91854,3,30618
ORD00086,2022-09-19,43,2,77400,4,19350
ORD00087,2023-11-25,35,21,29449,1,29449
ORD00088,2022-12-20,38,39,182960,4,45740
ORD00089,2022-09-14,30,109,40665,3,13555
ORD00090,2023-01-29,31,14,50986,2,25493
ORD00091,2023-08-09,23,74,138981,3,46327
ORD00092,2022-10-30,2,107,73952,4,18488
ORD00093,2022-01-09,37,111,40241,1,40241
ORD00094,2024-02-03,32,107,46743,3,15581
ORD00095,2023-09-14,23,29,82380,2,41190
ORD00096,2022-09-14,44,97,83344,2,41672
ORD00097,2022-04-10,41,83,20746,1,20746
ORD00098,2024-03-18,29,5,122055,5,24411
